voiceID,meanF0_Hz,stdevF0_Hz,HNR
Andre,329.90178613615615,45.61046838710626,8.073912519901429
Andre,308.88531619396855,31.26001713906437,7.394262875540409
Andre,318.830709717757,44.48770036725692,7.840969985498821
Andre,323.89054157624605,45.49072921597636,8.309332911579837
Andre,327.9438229459523,53.00205412450467,8.797430323154101
Andre,309.3635935680481,29.663718589791397,7.290231270426438
Andre,322.1086725658535,42.65341297351609,8.81804036916351
Andre,305.7790624493727,35.39154325648292,8.16860109711144
Andre,325.19992372133896,56.32800381858647,5.483867852014941
Andre,320.80132559808953,41.13799445676053,8.150734800219412
Andre,317.15353861656104,44.93930112900063,7.8430570586633745
Andre,309.5675903955628,41.793591573939935,6.2205026571208
Andre,309.8615118733623,32.98977662428314,8.197236291803465
Andre,296.18112282501806,36.377356445363425,8.211606348114382
Andre,308.08527029276115,45.91742368391399,6.6810702560908934
