voiceID,meanF0_Hz,harmonics,percurssives
Andre,157.2952849900512,-0.0,-2e-06
Andre,157.58993023296657,0.0,-0.0
Andre,157.3502500681923,-0.0,0.0
Andre,148.65714739089168,0.0,1e-06
Andre,149.4229003024747,-0.0,0.0
Andre,156.03992945272293,0.0,1e-06
Andre,158.21826464827197,0.0,2e-06
Andre,145.99611367610817,-0.0,-1e-06
Andre,153.10940449625195,0.0,-0.0
Andre,152.55008040127638,-0.0,-4e-06
Andre,148.8541698016338,-0.0,-1e-06
Andre,147.23588432986236,0.0,0.0
Andre,154.90978409241222,0.0,1e-06
Andre,149.32389376941737,-0.0,-2e-06
Andre,151.08601259556946,-0.0,0.0
Andre,149.10033425358296,-0.0,-0.0
Andre,148.8124108503578,-0.0,-3e-06
Andre,148.55253762192882,-0.0,-1e-06
Andre,149.64479671060815,-0.0,-0.0
Andre,148.331532559737,-0.0,1e-06
Andre,150.39432381455907,-0.0,0.0
Andre,147.65096794576633,0.0,1e-06
Andre,152.363391533056,0.0,3e-06
Andre,149.67328169826828,0.0,1e-06
Andre,156.67100450328692,0.0,1e-06
Andre,153.57701439969418,-0.0,-2e-06
Andre,154.81739265118182,0.0,1e-06
Andre,157.95188469904807,-0.0,-0.0
Andre,153.94550416237269,-0.0,-0.0
Andre,157.21323674497623,-0.0,1e-06
Andre,161.41216871293608,-0.0,2e-06
Andre,152.44738490313756,-0.0,-4e-06
Andre,156.55374949891655,-0.0,-1e-06
Andre,155.79564914520523,-0.0,1e-06
Andre,145.59198159400512,0.0,0.0
Andre,164.008758302924,0.0,3e-06
Andre,154.56453129604975,-0.0,-0.0
Andre,170.13624085114742,-0.0,-2e-06
Andre,157.15416820646334,-0.0,1e-06
Andre,165.2246202087596,0.0,0.0
Andre,166.08562150162996,0.0,4e-06
Andre,161.43405051924483,-0.0,-2e-06
Andre,164.438140479565,0.0,0.0
Andre,167.94481322193062,0.0,0.0
Andre,158.07410182356637,0.0,1e-06
Andre,164.25435178192203,0.0,1e-06
Andre,160.3153038642231,-0.0,-1e-06
Andre,151.82721892353396,-0.0,-0.0
Andre,158.43767180948493,-0.0,0.0
Andre,160.6618171366754,0.0,2e-06
Andre,165.20305009038836,0.0,1e-06
Andre,183.7854569702381,0.0,1e-06
Andre,167.4501918372068,0.0,3e-06
Andre,164.3843798021397,-0.0,1e-06
Andre,166.4298394954782,-0.0,0.0
Andre,175.15703816727483,-0.0,-2e-06
Andre,174.649867541686,0.0,3e-06
Andre,175.58235231035286,0.0,2e-06
Andre,169.7923713991441,-0.0,-0.0
Andre,174.04674162311113,0.0,2e-06
Andre,174.08797619866465,-0.0,0.0
Andre,164.54296859956762,0.0,1e-06
Andre,178.67524899053288,-0.0,-3e-06
Andre,174.29578643373486,-0.0,-2e-06
Andre,172.97105443661243,-0.0,-0.0
Marcelo,167.28534892454775,-0.0,-3e-06
Marcelo,181.61341332952333,-0.0,-0.0
Marcelo,177.94381544104732,0.0,0.0
Marcelo,178.0887259144903,-0.0,-2e-06
Marcelo,181.3442061474285,-0.0,-1e-06
Marcelo,184.24775440512533,0.0,-0.0
Marcelo,182.24475650582312,-0.0,-2e-06
Marcelo,191.72775977730166,0.0,0.0
Marcelo,179.51922936768187,-0.0,0.0
Marcelo,182.2116285748032,-0.0,-2e-06
Marcelo,181.68304305632552,0.0,2e-06
Marcelo,179.1850965985396,-0.0,-1e-06
Marcelo,166.2323844557008,0.0,2e-06
Marcelo,177.78443625075917,0.0,1e-06
Marcelo,179.44440428933393,-0.0,-2e-06
Marcelo,179.31959596280208,0.0,1e-06
Marcelo,175.55335318777776,-0.0,-1e-06
Marcelo,174.7850870035678,0.0,0.0
Marcelo,177.19525849881012,0.0,1e-06
Marcelo,179.75852118361303,0.0,0.0
Marcelo,179.5900300128704,0.0,2e-06
Marcelo,179.9367135442269,-0.0,-3e-06
Marcelo,183.13207157066785,-0.0,-2e-06
Marcelo,187.04302769876972,-0.0,-1e-06
Marcelo,185.36026837091504,-0.0,-1e-06
Marcelo,177.8191216244628,0.0,1e-06
Marcelo,178.06811027273943,0.0,2e-06
Marcelo,181.49775438334888,0.0,0.0
Marcelo,183.7099352274238,0.0,-1e-06
Marcelo,174.4313992055292,0.0,2e-06
Marcelo,177.32396478178626,-1e-05,-5e-06
Marcelo,174.58393451730953,0.0,1e-06
Marcelo,176.62349193343556,0.0,1e-06
Marcelo,173.7225709619514,0.0,1e-06
Marcelo,177.800802164031,-0.0,-3e-06
Marcelo,167.88840839906055,-0.0,-1e-06
Marcelo,179.48907164578515,-0.0,0.0
Marcelo,171.91348531984394,-0.0,-1e-06
Marcelo,169.49470254390883,0.0,2e-06
Marcelo,173.32116678363226,0.0,0.0
Marcelo,176.31611725958894,0.0,2e-06
Marcelo,176.5888262545414,-0.0,1e-06
Marcelo,178.37698341767077,-0.0,-2e-06
